date,time,uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,deaths
2020-01-30,16:00,31,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,33,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,42,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,35,3,1,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,43,2,2,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,41,1,1,NA,NA,NA,NA,NA,NA,NA
2020-01-30,16:00,23,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,23,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,31,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,33,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,35,7,2,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,41,1,1,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,42,1,2,NA,NA,NA,NA,NA,NA,NA
2020-01-31,12:00,43,2,3,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,23,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,31,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,33,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,35,8,2,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,41,1,1,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,42,2,2,NA,NA,NA,NA,NA,NA,NA
2020-02-01,12:00,43,4,3,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,23,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,31,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,33,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,35,8,2,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,41,1,1,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,42,2,2,NA,NA,NA,NA,NA,NA,NA
2020-02-02,12:00,43,4,3,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,23,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,31,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,33,1,1,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,35,7,3,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,41,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,42,2,2,NA,NA,NA,NA,NA,NA,NA
2020-02-03,16:00,43,4,3,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,23,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,31,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,33,1,2,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,35,6,5,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,41,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,42,2,2,NA,NA,NA,NA,NA,NA,NA
2020-02-04,15:00,43,4,3,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,23,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,31,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,33,1,2,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,35,4,9,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,41,0,2,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,42,1,3,NA,NA,NA,NA,NA,NA,NA
2020-02-05,12:00,43,5,3,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,23,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,31,1,1,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,33,1,2,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,35,3,10,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,41,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-02-06,15:30,42,1,3,NA,NA,NA,NA,NA,NA,NA
